DATE,Close
2018-02-22,"3,268.56"
2018-02-23,"3,289.02"
2018-02-26,"3,329.57"
2018-02-27,"3,292.07"
2018-02-28,"3,259.41"
2018-03-01,"3,273.75"
2018-03-02,"3,254.53"
2018-03-05,"3,256.93"
2018-03-06,"3,289.64"
2018-03-07,"3,271.67"
2018-03-08,"3,288.41"
2018-03-09,"3,307.17"
2018-03-12,"3,326.70"
2018-03-13,"3,310.24"
2018-03-14,"3,291.38"
2018-03-15,"3,291.11"
2018-03-16,"3,269.88"
2018-03-19,"3,279.25"
2018-03-20,"3,290.64"
2018-03-21,"3,280.95"
2018-03-22,"3,263.48"
2018-03-23,"3,152.76"
2018-03-26,"3,133.72"
2018-03-27,"3,166.65"
2018-03-28,"3,122.29"
2018-03-29,"3,160.53"
2018-03-30,"3,168.90"
2018-04-02,"3,163.18"
2018-04-03,"3,136.63"
2018-04-04,"3,131.11"
2018-04-09,"3,138.29"
2018-04-10,"3,190.32"
2018-04-11,"3,208.08"
2018-04-12,"3,180.16"
2018-04-13,"3,159.05"
2018-04-16,"3,110.65"
2018-04-17,"3,066.80"
2018-04-18,"3,091.40"
2018-04-19,"3,117.38"
2018-04-20,"3,071.54"
2018-04-23,"3,068.01"
2018-04-24,"3,128.93"
2018-04-25,"3,117.97"
2018-04-26,"3,075.03"
2018-04-27,"3,082.23"
2018-05-02,"3,081.18"
2018-05-03,"3,100.86"
2018-05-04,"3,091.03"
2018-05-07,"3,136.64"
2018-05-08,"3,161.50"
2018-05-09,"3,159.15"
2018-05-10,"3,174.41"
2018-05-11,"3,163.26"
2018-05-14,"3,174.03"
2018-05-15,"3,192.12"
2018-05-16,"3,169.57"
2018-05-17,"3,154.28"
2018-05-18,"3,193.30"
2018-05-21,"3,213.84"
2018-05-22,"3,214.35"
2018-05-23,"3,168.96"
2018-05-24,"3,154.65"
2018-05-25,"3,141.30"
2018-05-28,"3,135.08"
2018-05-29,"3,120.46"
2018-05-30,"3,041.44"
2018-05-31,"3,095.47"
2018-06-01,"3,075.14"
2018-06-04,"3,091.19"
2018-06-05,"3,114.21"
2018-06-06,"3,115.18"
2018-06-07,"3,109.50"
2018-06-08,"3,067.15"
2018-06-11,"3,052.78"
2018-06-12,"3,079.80"
2018-06-13,"3,049.80"
2018-06-14,"3,044.16"
2018-06-15,"3,021.90"
2018-06-19,"2,907.82"
2018-06-20,"2,915.73"
2018-06-21,"2,875.81"
2018-06-22,"2,889.76"
2018-06-25,"2,859.34"
2018-06-26,"2,844.51"
2018-06-27,"2,813.18"
2018-06-28,"2,786.90"
2018-06-29,"2,847.42"
2018-07-02,"2,775.56"
2018-07-03,"2,786.89"
2018-07-04,"2,759.13"
2018-07-05,"2,733.88"
2018-07-06,"2,747.23"
2018-07-09,"2,815.11"
2018-07-10,"2,827.63"
2018-07-11,"2,777.77"
2018-07-12,"2,837.66"
2018-07-13,"2,831.18"
2018-07-16,"2,814.04"
2018-07-17,"2,798.13"
2018-07-18,"2,787.26"
2018-07-19,"2,772.55"
2018-07-20,"2,829.27"
2018-07-23,"2,859.54"
2018-07-24,"2,905.56"
2018-07-25,"2,903.65"
2018-07-26,"2,882.23"
2018-07-27,"2,873.59"
2018-07-30,"2,869.05"
2018-07-31,"2,876.40"
2018-08-01,"2,824.53"
2018-08-02,"2,768.02"
2018-08-03,"2,740.44"
2018-08-06,"2,705.16"
2018-08-07,"2,779.37"
2018-08-08,"2,744.07"
2018-08-09,"2,794.38"
2018-08-10,"2,795.31"
2018-08-13,"2,785.87"
2018-08-14,"2,780.96"
2018-08-15,"2,723.26"
2018-08-16,"2,705.19"
2018-08-17,"2,668.97"
2018-08-20,"2,698.47"
